id,en,ru
building_new.floor_2.room_2218_n,2218,2218
building_new.floor_2.room_2217_n,2217,2217
building_new.floor_2.diner_1,1,1
building_new.floor_2.room_2146_n,2146,2146
building_new.floor_2.room_2147_n,2147,2147
building_new.floor_2.elevator_4,4,4
building_new.floor_2.room_2137_n,2137,2137
building_new.floor_2.toilet_4,4,4
building_new.floor_2.room_2148_n,2148,2148
building_new.floor_2.stair_9,9,9
building_new.floor_2.room_2102_n,2102,2102
building_new.floor_2.elevator_5,5,5
building_new.floor_2.room_2130_n,2130,2130
building_new.floor_2.room_2129_n,2129,2129
building_new.floor_2.room_2103_n,2103,2103
building_new.floor_2.disabledToilet_2,2,2
building_new.floor_2.stair_10,10,10
building_new.floor_2.room_2128_n,2128,2128
building_new.floor_2.room_2127_n,2127,2127
building_new.floor_2.room_2125_n,2125,2125
building_new.floor_2.room_2110_n,2110,2110
building_new.floor_2.room_2112_n,2112,2112
building_new.floor_2.room_2113_n,2113,2113
building_new.floor_2.toilet_5,5,5
building_new.floor_2.elevator_6,6,6
building_new.floor_2.stair_11,11,11
building_new.floor_2.room_2124_n,2124,2124
building_new.floor_2.room_2123_n,2123,2123
building_new.floor_2.room_2122_n,2122,2122
building_new.floor_2.room_2121_n,2121,2121
building_new.floor_2.room_2120_n,2120,2120
building_new.floor_2.room_2402_n,2402,2402
building_new.floor_2.room_2414_n,2414,2414
building_new.floor_2.room_2413_n,2413,2413
building_new.floor_2.room_2412_n,2412,2412
building_new.floor_2.room_2411_n,2411,2411
building_new.floor_2.room_2410_n,2410,2410
building_new.floor_2.room_2403_n,2403,2403
building_new.floor_2.room_2404_n,2404,2404
building_new.floor_2.room_2405_n,2405,2405
building_new.floor_2.stair_12,12,12
building_new.floor_2.room_2406_n,2406,2406
building_new.floor_2.room_2407_n,2407,2407
building_new.floor_2.room_2138_n,2138,2138
building_new.floor_2.room_212_r,212,212
building_new.floor_2.room_211_r,211,211
building_new.floor_2.room_218_r,218,218
building_new.floor_2.toilet_6,6,6
building_new.floor_2.toilet_7,7,7
building_new.floor_2.elevator_7,7,7
building_new.floor_2.elevator_8,8,8
building_new.floor_2.room_214_r,214,214
building_new.floor_2.room_225_r,225,225
building_new.floor_2.elevator_9,9,9
